GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Parcela;Mes Referencia ;Tipo Receita; Premio Bruto ;% Receita para XIPP;Receita Bruta da Corretora XIPP;  % Impostos retidos;Impostos retidos;Receita recebida pela Corretora XIPP;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Indutil Industria de Tintas Ltda.;61.409.355/0001-23;SULAMERICA;SAÚDE;3;01/03/2022;Comissão; R$ 20.374,40 ;5%; R$ 1.018,72 ;3,50%; R$ 35,66 ; R$ 983,06 ;14,25%; 140,09 ; 842,98 ;10%; 84,30 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Indutil Industria de Tintas Ltda.;61.409.355/0001-23;SULAMERICA;SAÚDE;4;01/04/2022;Comissão; R$ 15.135,20 ;5%; R$ 756,76 ;3,50%; R$ 26,49 ; R$ 730,27 ;14,25%; 104,06 ; 626,21 ;10%; 62,62 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;AP&S Consultoria Empresarial;32.519.257/0001-40;SULAMERICA;SAÚDE;1;01/02/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Criare Rh Gestão Organizacional Ltda.;14.806.110/0001-50;SULAMERICA;SAÚDE;1;01/02/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;O Zanatta Treinamento Profissional e Gerencial;34.035.442/0001-95;SULAMERICA;SAÚDE;1;01/02/2022;Comissão; R$ 1.746,20 ;5%; R$ 87,31 ;3,50%; R$ 3,06 ; R$ 84,25 ;14,25%; 12,01 ; 72,25 ;10%; 7,22 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Viva Treinamentos Corporativos Ltda.;42.334.013/0001-47;SULAMERICA;SAÚDE;1;01/02/2022;Comissão; R$ 4.197,20 ;5%; R$ 209,86 ;3,50%; R$ 7,35 ; R$ 202,51 ;14,25%; 28,86 ; 173,66 ;10%; 17,37 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;AP&S Consultoria Empresarial;32.519.257/0001-40;SULAMERICA;SAÚDE;2;01/03/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Criare Rh Gestão Organizacional Ltda.;14.806.110/0001-50;SULAMERICA;SAÚDE;2;01/03/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;O Zanatta Treinamento Profissional e Gerencial;34.035.442/0001-95;SULAMERICA;SAÚDE;2;01/03/2022;Comissão; R$ 1.746,20 ;5%; R$ 87,31 ;3,50%; R$ 3,06 ; R$ 84,25 ;14,25%; 12,01 ; 72,25 ;10%; 7,22 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Viva Treinamentos Corporativos Ltda.;42.334.013/0001-47;SULAMERICA;SAÚDE;2;01/03/2022;Comissão; R$ 4.197,20 ;5%; R$ 209,86 ;3,50%; R$ 7,35 ; R$ 202,51 ;14,25%; 28,86 ; 173,66 ;10%; 17,37 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;AP&S Consultoria Empresarial;32.519.257/0001-40;SULAMERICA;SAÚDE;3;01/03/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Criare Rh Gestão Organizacional Ltda.;14.806.110/0001-50;SULAMERICA;SAÚDE;2;01/03/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;O Zanatta Treinamento Profissional e Gerencial;34.035.442/0001-95;SULAMERICA;SAÚDE;3;01/03/2022;Comissão; R$ 1.746,20 ;5%; R$ 87,31 ;3,50%; R$ 3,06 ; R$ 84,25 ;14,25%; 12,01 ; 72,25 ;10%; 7,22 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Viva Treinamentos Corporativos Ltda.;42.334.013/0001-47;SULAMERICA;SAÚDE;3;01/04/2022;Comissão; R$ 4.197,20 ;5%; R$ 209,86 ;3,50%; R$ 7,35 ; R$ 202,51 ;14,25%; 28,86 ; 173,66 ;10%; 17,37 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;Omnilink Tecnologia S.A.;03.585.974/0001-72;BRADESCO;SAÚDE;1;01/05/2022;Comissão; R$ 176.981,30 ;3%; R$ 4.424,53 ;3,50%; R$ 154,86 ; R$ 4.269,67 ;14,25%; 608,43 ; 3.661,25 ;10%; 366,12 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;MON VILLE ALIMENTAÇÃO ;00.327.702/0001-84;METLIFE;ODONTO;10;01/06/2022;Comissão; R$ 425,13 ;10%; R$ 42,51 ;6,50%; R$ 2,76 ; R$ 39,75 ;14,25%; 5,66 ; 34,09 ;10%; 3,41 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;10;01/06/2022;Comissão; R$ 643,44 ;10%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; 8,57 ; 51,59 ;10%; 5,16 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;10;01/06/2022;Comissão; R$ 563,01 ;10%; R$ 56,30 ;6,50%; R$ 3,66 ; R$ 52,64 ;14,25%; 7,50 ; 45,14 ;10%; 4,51 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;10;01/05/2022;Comissão; R$ 618,39 ;10%; R$ 61,84 ;6,50%; R$ 4,02 ; R$ 57,82 ;14,25%; 8,24 ; 49,58 ;10%; 4,96 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;10;01/05/2022;Comissão; R$ 1.296,78 ;10%; R$ 129,68 ;6,50%; R$ 8,43 ; R$ 121,25 ;14,25%; 17,28 ; 103,97 ;10%; 10,40 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;KRYPTUS;05.761.098/0001-13;AMIL;SAÚDE;9;01/05/2022;Comissão; R$ 31.639,71 ;5%; R$ 1.581,99 ;6,50%; R$ 102,83 ; R$ 1.479,16 ;14,25%; 210,78 ; 1.268,38 ;10%; 126,84 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;KRYPTUS;05.761.098/0002-02;AMIL;SAÚDE;9;01/05/2022;Comissão; R$ 9.687,23 ;5%; R$ 484,36 ;6,50%; R$ 31,48 ; R$ 452,88 ;14,25%; 64,54 ; 388,34 ;10%; 38,83 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Sinalisa;42.147.421/0001-90;CNU;SAÚDE;2;01/05/2022;Comissão; R$ 83.585,46 ;5%; R$ 4.179,27 ;6,50%; R$ 271,65 ; R$ 3.907,62 ;14,25%; 556,84 ; 3.350,78 ;10%; 335,08 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Sinalisa Segurança Viaria Ltda.;42.147.421/0001-90;SULAMERICA;SAÚDE;6;01/06/2022;Comissão; R$ 35.722,20 ;5%; R$ 1.786,11 ;3,50%; R$ 62,51 ; R$ 1.723,60 ;14,25%; 245,61 ; 1.477,98 ;10%; 147,80 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Indutil Industria de Tintas Ltda.;61.409.355/0001-23;SULAMERICA;SAÚDE;5;01/05/2022;Comissão; R$ 16.299,60 ;5%; R$ 814,98 ;3,50%; R$ 28,52 ; R$ 786,46 ;14,25%; 112,07 ; 674,39 ;10%; 67,44 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Criare Rh Gestão Organizacional Ltda.;14.806.110/0001-50;SULAMERICA;SAÚDE;4;01/05/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;O Zanatta Treinamento Profissional e Gerencial;34.035.442/0001-95;SULAMERICA;SAÚDE;4;01/05/2022;Comissão; R$ 1.746,20 ;5%; R$ 87,31 ;3,50%; R$ 3,06 ; R$ 84,25 ;14,25%; 12,01 ; 72,25 ;10%; 7,22 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Viva Treinamentos Corporativos Ltda.;42.334.013/0001-47;SULAMERICA;SAÚDE;4;01/05/2022;Comissão; R$ 4.197,20 ;5%; R$ 209,86 ;3,50%; R$ 7,35 ; R$ 202,51 ;14,25%; 28,86 ; 173,66 ;10%; 17,37 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;AP&S Consultoria Empresarial Eireli;32.519.257/0001-40;SULAMERICA;SAÚDE;1;01/05/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0003-34;BRADESCO;SAÚDE;2;01/05/2022;Comissão; R$ 2.754,39 ;3%; R$ 82,63 ;3,50%; R$ 2,89 ; R$ 79,74 ;14,25%; 11,36 ; 68,38 ;10%; 6,84 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0011-44;BRADESCO;SAÚDE;1;01/06/2022;Comissão; R$ 11.460,96 ;3%; R$ 343,83 ;3,50%; R$ 12,03 ; R$ 331,79 ;14,25%; 47,28 ; 284,51 ;10%; 28,45 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0001-72;BRADESCO;SAÚDE;2;01/06/2022;Comissão; R$ 170.981,80 ;3%; R$ 5.129,45 ;3,50%; R$ 179,53 ; R$ 4.949,92 ;14,25%; 705,36 ; 4.244,56 ;10%; 424,46 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0003-34;BRADESCO;SAÚDE;2;01/06/2022;Comissão; R$ 2.754,39 ;3%; R$ 82,63 ;3,50%; R$ 2,89 ; R$ 79,74 ;14,25%; 11,36 ; 68,38 ;10%; 6,84 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0004-15;BRADESCO;SAÚDE;2;01/06/2022;Comissão; R$ 5.350,06 ;3%; R$ 160,50 ;3,50%; R$ 5,62 ; R$ 154,88 ;14,25%; 22,07 ; 132,81 ;10%; 13,28 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0009-20;BRADESCO;SAÚDE;2;01/06/2022;Comissão; R$ 8.247,42 ;3%; R$ 247,42 ;3,50%; R$ 8,66 ; R$ 238,76 ;14,25%; 34,02 ; 204,74 ;10%; 20,47 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0014-97;BRADESCO;SAÚDE;2;01/06/2022;Comissão; R$ 5.005,84 ;3%; R$ 150,18 ;3,50%; R$ 5,26 ; R$ 144,92 ;14,25%; 20,65 ; 124,27 ;10%; 12,43 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0011-44;BRADESCO;SAÚDE;2;01/06/2022;Comissão; R$ 12.460,96 ;3%; R$ 373,83 ;3,50%; R$ 13,08 ; R$ 360,74 ;14,25%; 51,41 ; 309,34 ;10%; 30,93 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0009-20;ODONTOPREV;ODONTO;1;01/05/2022;Agenciamento; R$ 320,11 ;95%; R$ 304,10 ;3,50%; R$ 10,64 ; R$ 293,46 ;14,25%; 41,82 ; 251,64 ;10%; 25,16 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0009-20;ODONTOPREV;ODONTO;2;01/05/2022;Comissão; R$ 8.040,41 ;5%; R$ 402,02 ;3,50%; R$ 14,07 ; R$ 387,95 ;14,25%; 55,28 ; 332,67 ;10%; 33,27 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0009-20;ODONTOPREV;ODONTO;3;01/06/2022;Comissão; R$ 7.983,92 ;5%; R$ 399,20 ;3,50%; R$ 13,97 ; R$ 385,22 ;14,25%; 54,89 ; 330,33 ;10%; 33,03 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Mon Ville Alimentacao Ltda.;00.327.702/0001-84;UNIMED CAMP;SAÚDE;1;01/03/2022;Comissão; R$ 17.899,49 ;5%; R$ 894,97 ;3,50%; R$ 31,32 ; R$ 863,65 ;14,25%; 123,07 ; 740,58 ;10%; 74,06 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Mon Ville Restaurantes e Serviços Eireli;30.546.132/0001-84;UNIMED CAMP;SAÚDE;1;01/03/2022;Comissão; R$ 29.737,55 ;5%; R$ 1.486,88 ;3,50%; R$ 52,04 ; R$ 1.434,84 ;14,25%; 204,46 ; 1.230,37 ;10%; 123,04 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Mon Ville Minas Refeições Coletivas Ltda.;14.429.436/0001-05;UNIMED CAMP;SAÚDE;1;01/03/2022;Comissão; R$ 8.270,90 ;5%; R$ 413,55 ;3,50%; R$ 14,47 ; R$ 399,07 ;14,25%; 56,87 ; 342,20 ;10%; 34,22 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Mon Ville Alimentacao Ltda.;00.327.702/0001-84;UNIMED CAMP;SAÚDE;2;01/04/2022;Comissão; R$ 16.573,52 ;5%; R$ 828,68 ;3,50%; R$ 29,00 ; R$ 799,67 ;14,25%; 113,95 ; 685,72 ;10%; 68,57 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Mon Ville Restaurantes e Serviços Eireli;30.546.132/0001-84;UNIMED CAMP;SAÚDE;2;01/04/2022;Comissão; R$ 28.837,85 ;5%; R$ 1.441,89 ;3,50%; R$ 50,47 ; R$ 1.391,43 ;14,25%; 198,28 ; 1.193,15 ;10%; 119,31 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Mon Ville Minas Refeições Coletivas Ltda.;14.429.436/0001-05;UNIMED CAMP;SAÚDE;2;01/04/2022;Comissão; R$ 6.960,75 ;5%; R$ 348,04 ;3,50%; R$ 12,18 ; R$ 335,86 ;14,25%; 47,86 ; 288,00 ;10%; 28,80 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Mon Ville Alimentacao Ltda.;00.327.702/0001-84;UNIMED CAMP;SAÚDE;3;01/05/2022;Comissão; R$ 17.899,49 ;5%; R$ 894,97 ;3,50%; R$ 31,32 ; R$ 863,65 ;14,25%; 123,07 ; 740,58 ;10%; 74,06 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Mon Ville Restaurantes e Serviços Eireli;30.546.132/0001-84;UNIMED CAMP;SAÚDE;3;01/05/2022;Comissão; R$ 27.512,05 ;5%; R$ 1.375,60 ;3,50%; R$ 48,15 ; R$ 1.327,46 ;14,25%; 189,16 ; 1.138,29 ;10%; 113,83 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;Mon Ville Minas Refeições Coletivas Ltda.;14.429.436/0001-05;UNIMED CAMP;SAÚDE;3;01/05/2022;Comissão; R$ 6.960,75 ;5%; R$ 348,04 ;3,50%; R$ 12,18 ; R$ 335,86 ;14,25%; 47,86 ; 288,00 ;10%; 28,80 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;MON VILLE ALIMENTAÇÃO ;00.327.702/0001-84;METLIFE;ODONTO;11;01/07/2022;Comissão; R$ 459,60 ;10%; R$ 45,96 ;6,50%; R$ 2,99 ; R$ 42,97 ;14,25%; 6,12 ; 36,85 ;10%; 3,68 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;11;01/07/2022;Comissão; R$ 517,05 ;10%; R$ 51,71 ;6,50%; R$ 3,36 ; R$ 48,34 ;14,25%; 6,89 ; 41,46 ;10%; 4,15 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;11;01/07/2022;Comissão; R$ 643,44 ;10%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; 8,57 ; 51,59 ;10%; 5,16 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;11;01/07/2022;Comissão; R$ 647,11 ;10%; R$ 64,71 ;6,50%; R$ 4,21 ; R$ 60,50 ;14,25%; 8,62 ; 51,88 ;10%; 5,19 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;11;01/07/2022;Comissão; R$ 1.589,21 ;10%; R$ 158,92 ;6,50%; R$ 10,33 ; R$ 148,59 ;14,25%; 21,17 ; 127,42 ;10%; 12,74 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;KRYPTUS;05.761.098/0001-13;AMIL;SAÚDE;10;01/07/2022;Comissão; R$ 29.767,77 ;5%; R$ 1.488,39 ;6,50%; R$ 96,75 ; R$ 1.391,64 ;14,25%; 198,31 ; 1.193,33 ;10%; 119,33 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;KRYPTUS;05.761.098/0002-02;AMIL;SAÚDE;10;01/07/2022;Comissão; R$ 9.094,94 ;5%; R$ 454,75 ;6,50%; R$ 29,56 ; R$ 425,19 ;14,25%; 60,59 ; 364,60 ;10%; 36,46 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Sinalisa;42.147.421/0001-90;CNU;SAÚDE;3;01/07/2022;Comissão; R$ 117.936,84 ;5%; R$ 5.896,84 ;6,50%; R$ 383,29 ; R$ 5.513,55 ;14,25%; 785,68 ; 4.727,87 ;10%; 472,79 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Sinalisa Segurança Viaria Ltda.;42.147.421/0001-90;SULAMERICA;SAÚDE;7;01/07/2022;Comissão; R$ 36.178,40 ;5%; R$ 1.808,92 ;3,50%; R$ 63,31 ; R$ 1.745,61 ;14,25%; 248,75 ; 1.496,86 ;10%; 149,69 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Indutil Industria de Tintas Ltda.;61.409.355/0001-23;SULAMERICA;SAÚDE;5;01/07/2022;Comissão; R$ 15.717,40 ;5%; R$ 785,87 ;3,50%; R$ 27,51 ; R$ 758,36 ;14,25%; 108,07 ; 650,30 ;10%; 65,03 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Criare Rh Gestão Organizacional Ltda.;14.806.110/0001-50;SULAMERICA;SAÚDE;5;01/06/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;O Zanatta Treinamento Profissional e Gerencial;34.035.442/0001-95;SULAMERICA;SAÚDE;5;01/06/2022;Comissão; R$ 1.746,20 ;5%; R$ 87,31 ;3,50%; R$ 3,06 ; R$ 84,25 ;14,25%; 12,01 ; 72,25 ;10%; 7,22 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Viva Treinamentos Corporativos Ltda.;42.334.013/0001-47;SULAMERICA;SAÚDE;5;01/06/2022;Comissão; R$ 4.197,20 ;5%; R$ 209,86 ;3,50%; R$ 7,35 ; R$ 202,51 ;14,25%; 28,86 ; 173,66 ;10%; 17,37 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;AP&S Consultoria Empresarial;32.519.257/0001-40;SULAMERICA;SAÚDE;5;01/06/2022;Comissão; R$ 1.164,20 ;5%; R$ 58,21 ;3,50%; R$ 2,04 ; R$ 56,17 ;14,25%; 8,00 ; 48,17 ;10%; 4,82 
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Sinalisa Segurança Viaria Ltda.;42.147.421/0001-90;SULAMERICA;ODONTO;3;01/07/2022;Comissão; R$ 7.026,50 ;5%; R$ 351,33 ;3,50%; R$ 12,30 ; R$ 339,03 ;14,25%; 48,31 ; 290,72 ;10%; 29,07 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0011-44;BRADESCO;SAÚDE;3;01/07/2022;Comissão; R$ 3.496,62 ;3%; R$ 104,90 ;3,50%; R$ 3,67 ; R$ 101,23 ;14,25%; 14,42 ; 86,80 ;10%; 8,68 
Omnilink;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Omnilink Tecnologia S.A.;03.585.974/0009-20;ODONTOPREV;ODONTO;2;01/06/2022;Agenciamento; R$ 263,62 ;95%; R$ 250,44 ;3,50%; R$ 8,77 ; R$ 241,67 ;14,25%; 34,44 ; 207,24 ;10%; 20,72 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Mon Ville Alimentacao Ltda.;00.327.702/0001-84;UNIMED CAMP;SAÚDE;4;01/06/2022;Comissão; R$ 21.877,01 ;5%; R$ 1.093,85 ;3,50%; R$ 38,28 ; R$ 1.055,57 ;14,25%; 150,42 ; 905,15 ;10%; 90,51 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Mon Ville Restaurantes e Serviços Eireli;30.546.132/0001-84;UNIMED CAMP;SAÚDE;4;01/06/2022;Comissão; R$ 27.843,36 ;5%; R$ 1.392,17 ;3,50%; R$ 48,73 ; R$ 1.343,44 ;14,25%; 191,44 ; 1.152,00 ;10%; 115,20 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Mon Ville Minas Refeições Coletivas Ltda.;14.429.436/0001-05;UNIMED CAMP;SAÚDE;4;01/06/2022;Comissão; R$ 6.960,75 ;5%; R$ 348,04 ;3,50%; R$ 12,18 ; R$ 335,86 ;14,25%; 47,86 ; 288,00 ;10%; 28,80 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Mon Ville Alimentacao Ltda.;00.327.702/0001-84;UNIMED CAMP;SAÚDE;5;01/07/2022;Comissão; R$ 19.556,80 ;5%; R$ 977,84 ;3,50%; R$ 34,22 ; R$ 943,62 ;14,25%; 134,47 ; 809,15 ;10%; 80,92 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Mon Ville Restaurantes e Serviços Eireli;30.546.132/0001-84;UNIMED CAMP;SAÚDE;5;01/07/2022;Comissão; R$ 32.815,60 ;5%; R$ 1.640,78 ;3,50%; R$ 57,43 ; R$ 1.583,35 ;14,25%; 225,63 ; 1.357,72 ;10%; 135,77 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;Mon Ville Minas Refeições Coletivas Ltda.;14.429.436/0001-05;UNIMED CAMP;SAÚDE;5;01/07/2022;Comissão; R$ 9.281,20 ;5%; R$ 464,06 ;3,50%; R$ 16,24 ; R$ 447,82 ;14,25%; 63,81 ; 384,00 ;10%; 38,40 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/08/2022;Corporate;MON VILLE ALIMENTAÇÃO ;00.327.702/0001-84;METLIFE;ODONTO;12;01/08/2022;Comissão; R$ 459,60 ;10%; R$ 45,96 ;6,50%; R$ 2,99 ; R$ 42,97 ;14,25%; 6,12 ; 36,85 ;10%; 3,68 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/08/2022;Corporate;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;12;01/08/2022;Comissão; R$ 471,09 ;10%; R$ 47,11 ;6,50%; R$ 3,06 ; R$ 44,05 ;14,25%; 6,28 ; 37,77 ;10%; 3,78 
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/08/2022;Corporate;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;12;01/08/2022;Comissão; R$ 643,44 ;10%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; 8,57 ; 51,59 ;10%; 5,16 
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/08/2022;Corporate;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;12;01/08/2022;Comissão; R$ 829,66 ;10%; R$ 82,97 ;6,50%; R$ 5,39 ; R$ 77,57 ;14,25%; 11,05 ; 66,52 ;10%; 6,65 
